         2719936 function calls (2672071 primitive calls) in 31.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1229    0.003    0.000    0.003    0.000 {built-in method matplotlib._path.affine_transform}
    723/9    0.003    0.000    0.965    0.107 <frozen importlib._bootstrap_external>:672(exec_module)
      391    0.003    0.000    0.007    0.000 rendering.py:302(render1)
     1411    0.003    0.000    0.008    0.000 transforms.py:2654(__init__)
     6165    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
     1446    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     2078    0.003    0.000    0.005    0.000 lines.py:1061(set_drawstyle)
     2078    0.003    0.000    0.005    0.000 lines.py:1370(set_solid_joinstyle)
       16    0.003    0.000    0.003    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      349    0.003    0.000    0.084    0.000 axis.py:484(_get_gridline)
     5180    0.003    0.000    0.004    0.000 function_base.py:257(iterable)
       31    0.003    0.000    0.597    0.019 _base.py:960(cla)
      333    0.003    0.000    0.077    0.000 axis.py:602(_get_gridline)
        1    0.003    0.003    0.005    0.005 png.py:36(<module>)
      391    0.003    0.000    0.062    0.000 Image.py:2508(frombytes)
     3804    0.002    0.000    0.010    0.000 colors.py:115(_is_nth_color)
     2078    0.002    0.000    0.020    0.000 lines.py:1257(set_markerfacecoloralt)
     5293    0.002    0.000    0.007    0.000 artist.py:170(convert_xunits)
      172    0.002    0.000    0.002    0.000 {built-in method ones_like}
      391    0.002    0.000    1.538    0.004 __init__.py:319(flip)
     1494    0.002    0.000    0.018    0.000 transforms.py:788(from_extents)
     1053    0.002    0.000    0.004    0.000 path.py:188(_update_values)
     2078    0.002    0.000    0.005    0.000 lines.py:1415(set_solid_capstyle)
     1781    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
    28596    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
     3010    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  349/319    0.002    0.000    0.104    0.000 axis.py:458(_get_tick1line)
     3410    0.002    0.000    0.010    0.000 axis.py:325(_set_artist_props)
     3783    0.002    0.000    0.008    0.000 re.py:169(match)
      773    0.002    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
      810    0.002    0.000    0.945    0.001 functional.py:904(relu)
     2543    0.002    0.000    0.006    0.000 enum.py:803(__and__)
      172    0.002    0.000    0.002    0.000 {built-in method broadcast_tensors}
      414    0.002    0.000    0.025    0.000 font_manager.py:1179(findfont)
     1369    0.002    0.000    0.007    0.000 transforms.py:994(__init__)
     1679    0.002    0.000    0.016    0.000 fromnumeric.py:55(_wrapfunc)
      731    0.002    0.000    0.011    0.000 text.py:823(get_prop_tup)
     1941    0.002    0.000    0.004    0.000 font_manager.py:767(set_variant)
      349    0.002    0.000    0.040    0.000 axis.py:425(_get_text1)
       64    0.002    0.000    0.029    0.000 _base.py:2425(handle_single_axis)
      376    0.002    0.000    0.048    0.000 scale.py:86(set_default_locators_and_formatters)
5142/3599    0.002    0.000    0.008    0.000 {built-in method builtins.hash}
      188    0.002    0.000    0.123    0.001 axis.py:862(set_tick_params)
     7547    0.002    0.000    0.007    0.000 enum.py:267(__call__)
     8527    0.002    0.000    0.002    0.000 sre_parse.py:232(__next)
      391    0.002    0.000    0.002    0.000 {built-in method from_buffer}
  333/303    0.002    0.000    0.094    0.000 axis.py:573(_get_tick1line)
     2346    0.002    0.000    0.008    0.000 rendering.py:193(disable)
      371    0.002    0.000    0.022    0.000 03_DQN_training.py:144(take_action)
     2174    0.002    0.000    0.003    0.000 lines.py:31(_get_dash_pattern)
     7534    0.002    0.000    0.003    0.000 enum.py:517(__new__)
     2078    0.002    0.000    0.007    0.000 lines.py:733(set_transform)
     1537    0.002    0.000    0.004    0.000 text.py:1122(set_verticalalignment)
      578    0.002    0.000    0.002    0.000 transforms.py:2867(_interval_contains_close)
     1224    0.002    0.000    0.006    0.000 text.py:809(get_unitless_position)
3059/1365    0.002    0.000    0.078    0.000 _base.py:736(get_yaxis_transform)
      390    0.002    0.000    0.003    0.000 module.py:587(__setattr__)
       12    0.002    0.000    0.024    0.002 artist.py:1277(_get_setters_and_targets)
      391    0.002    0.000    0.002    0.000 {method 'encode' of 'ImagingEncoder' objects}
     1956    0.002    0.000    0.003    0.000 inspect.py:2452(__init__)
      806    0.002    0.000    0.002    0.000 font_manager.py:1119(score_stretch)
      391    0.002    0.000    0.009    0.000 transforms.py:194(__init__)
      136    0.002    0.000    0.005    0.000 ticker.py:691(_compute_offset)
     1352    0.002    0.000    0.017    0.000 transforms.py:762(unit)
      391    0.002    0.000    0.162    0.000 functional.py:221(resize)
  349/319    0.002    0.000    0.093    0.000 axis.py:469(_get_tick2line)
      682    0.002    0.000    0.003    0.000 inspect.py:2732(__init__)
        1    0.002    0.002    0.005    0.005 dds.py:38(<module>)
     5400    0.002    0.000    0.013    0.000 artist.py:974(<listcomp>)
      333    0.002    0.000    0.036    0.000 axis.py:543(_get_text1)
      209    0.002    0.000    0.003    0.000 cycler.py:349(by_key)
     1388    0.002    0.000    0.007    0.000 transforms.py:2553(__init__)
     4146    0.002    0.000    0.002    0.000 {method 'values' of 'collections.OrderedDict' objects}
      376    0.002    0.000    0.011    0.000 ticker.py:1963(_staircase)
      765    0.002    0.000    0.023    0.000 transforms.py:1377(transform)
      376    0.002    0.000    0.030    0.000 ticker.py:1971(set_params)
      544    0.002    0.000    0.002    0.000 {method 'round' of 'numpy.generic' objects}
      653    0.002    0.000    0.009    0.000 axis.py:500(update_position)
      172    0.002    0.000   10.309    0.060 __init__.py:44(backward)
     2078    0.002    0.000    0.003    0.000 lines.py:1271(set_markersize)
  333/303    0.002    0.000    0.092    0.000 axis.py:588(_get_tick2line)
     2480    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     2293    0.002    0.000    0.006    0.000 {built-in method builtins.any}
      136    0.002    0.000    0.003    0.000 ticker.py:730(_set_order_of_magnitude)
      172    0.002    0.000    0.010    0.000 functional.py:2183(mse_loss)
     5294    0.002    0.000    0.005    0.000 artist.py:182(convert_yunits)
       52    0.002    0.000    0.968    0.019 __init__.py:1(<module>)
        2    0.002    0.001    0.003    0.001 __init__.py:363(set_visible)
      391    0.002    0.000    0.007    0.000 <__array_function__ internals>:2(transpose)
